EXPECTED:  0 | GOT:  0
EXPECTED:  1 | GOT:  1
EXPECTED:  8 | GOT:  8
EXPECTED: 16 | GOT: 16
EXPECTED:  9 | GOT:  9
EXPECTED:  2 | GOT:  2
EXPECTED:  3 | GOT:  3
EXPECTED: 10 | GOT: 10
EXPECTED: 17 | GOT: 17
EXPECTED: 24 | GOT: 24
EXPECTED: 25 | GOT: 25
EXPECTED: 18 | GOT: 18
EXPECTED: 11 | GOT: 11
EXPECTED:  4 | GOT:  4
EXPECTED:  5 | GOT:  5
EXPECTED: 12 | GOT: 12
EXPECTED: 19 | GOT: 19
EXPECTED: 26 | GOT: 26
EXPECTED: 27 | GOT: 27
EXPECTED: 20 | GOT: 20
EXPECTED: 13 | GOT: 13
EXPECTED:  6 | GOT:  6
EXPECTED:  7 | GOT:  7
EXPECTED: 14 | GOT: 14
EXPECTED: 21 | GOT: 21
EXPECTED: 28 | GOT: 28
EXPECTED: 29 | GOT: 29
EXPECTED: 22 | GOT: 22
EXPECTED: 15 | GOT: 15
EXPECTED: 23 | GOT: 23
EXPECTED: 30 | GOT: 30
EXPECTED: 31 | GOT: 31

-----------------------------------------
TESTCASES: 32 | PASSED: 32 | FAILED: 0
-----------------------------------------

